section,key,value
"report","generatedAt","2026-07-02T09:31:55.759524572"
"dispute","disputeId","20"
"dispute","txnRef","TRX-20260702075738-456404E5"
"dispute","status","RESOLVED_REFUND"
"dispute","disputeType","POST_SETTLEMENT_DESTINATION_DISPUTE"
"dispute","raisingPspId","PETERBANK"
"dispute","respondingPspId","SUNDAYBANK"
"dispute","proposedResolution","REFUND_REQUIRED"
"dispute","proposedBy","admin"
"dispute","checkedBy","checker1"
"dispute","resolutionNote","Checker approved REFUND_REQUIRED: Checker approved DRS refund"
"transfer","transferRef","TRX-20260702075738-456404E5"
"transfer","sourceBank","SUNDAYBANK"
"transfer","destinationBank","PETERBANK"
"transfer","amount","150000.0000"
"transfer","currency","LAK"
"transfer","status","SETTLED"
"transfer","confirmationStatus","DISPUTED"
"transfer","settlementConfidence","DISPUTED"
"transfer","settledAt","2026-07-02T08:03:53.088"
"refund","refundId","1"
"refund","refundRef","DRS-REFUND-20-10891259947565562"
"refund","amount","150000.0000"
"refund","status","COMPLETED"
"refund","initiatedAt","2026-07-02T09:06:01.750"
"refund","completedAt","2026-07-02T09:06:01.750"
"timeline.1","eventType","POOL_HOLD_CREATED"
"timeline.1","actor","API"
"timeline.1","createdAt","2026-07-02T07:57:38.098"
"timeline.1","payload","{""transferRef"":""TRX-20260702075738-456404E5"",""sourceBank"":""SUNDAYBANK"",""amount"":150000.0,""currency"":""LAK"",""availableBalance"":0,""heldAmount"":0}"
"timeline.2","eventType","TRANSFER_CREATED"
"timeline.2","actor","API"
"timeline.2","createdAt","2026-07-02T07:57:38.102"
"timeline.2","payload","{""transferRef"":""TRX-20260702075738-456404E5"",""inquiryRef"":""INQ-20260702075737-C21AE540"",""status"":""ACCEPTED"",""sourceBank"":""SUNDAYBANK"",""destinationBank"":""PETERBANK"",""creditorAccount"":""********0001"",""amount"":150000.0,""currency"":""LAK"",""idempotencyKey"":""IDEM-TRF-SETTLE-OK-20260702145737"",""messageType"":""PACS_008"",""routeCode"":""ROUTE_SUNDAYBANK_TO_PETERBANK_PACS008"",""connectorName"":""MOCK_PETERBANK_CONNECTOR"",""settlementMethod"":""DNS"",""highValue"":false}"
"timeline.3","eventType","ISO_PACS008_ENCRYPTED_CREATED"
"timeline.3","actor","API"
"timeline.3","createdAt","2026-07-02T07:57:38.105"
"timeline.3","payload","{""isoMessageId"":85,""messageType"":""PACS_008"",""direction"":""OUTBOUND"",""messageId"":""MSG-TRX-20260702075738-456404E5"",""endToEndId"":""E2E-TRX-20260702075738-456404E5"",""securityStatus"":""ENCRYPTED"",""plainPayloadPresent"":false,""encryptedPayloadPresent"":true,""transferRef"":""TRX-20260702075738-456404E5"",""inquiryRef"":""INQ-20260702075737-C21AE540"",""sourceBank"":""SUNDAYBANK"",""destinationBank"":""PETERBANK"",""routeCode"":""ROUTE_SUNDAYBANK_TO_PETERBANK_PACS008"",""connectorName"":""MOCK_PETERBANK_CONNECTOR""}"
"timeline.4","eventType","TRANSFER_QUEUED_FOR_DISPATCH"
"timeline.4","actor","API"
"timeline.4","createdAt","2026-07-02T07:57:38.108"
"timeline.4","payload","{""transferRef"":""TRX-20260702075738-456404E5"",""inquiryRef"":""INQ-20260702075737-C21AE540"",""outboxMessageType"":""TRANSFER_DISPATCH"",""isoMessageId"":85,""isoMessageType"":""PACS_008"",""isoSecurityStatus"":""ENCRYPTED"",""isoEncryptedPayloadPresent"":true,""sourceBank"":""SUNDAYBANK"",""destinationBank"":""PETERBANK"",""messageType"":""PACS_008"",""routeCode"":""ROUTE_SUNDAYBANK_TO_PETERBANK_PACS008"",""connectorName"":""MOCK_PETERBANK_CONNECTOR""}"
"timeline.5","eventType","OUTBOX_DISPATCH_STARTED"
"timeline.5","actor","WORKER"
"timeline.5","createdAt","2026-07-02T07:57:38.131"
"timeline.5","payload","{""outboxEventId"":45,""transferRef"":""TRX-20260702075738-456404E5"",""messageType"":""TRANSFER_DISPATCH""}"
"timeline.6","eventType","OUTBOX_ISO_MESSAGE_RESOLVED"
"timeline.6","actor","WORKER"
"timeline.6","createdAt","2026-07-02T07:57:38.150"
