section,key,value
"report","generatedAt","2026-07-17T06:23:16.120392643"
"dispute","disputeId","27"
"dispute","txnRef","TRX-20260716061216-7698F2F7"
"dispute","status","ESCALATED"
"dispute","disputeType","TECHNICAL_ERROR"
"dispute","raisingPspId","SUNDAYBANK"
"dispute","respondingPspId","UAT260716T02220"
"dispute","proposedResolution",""
"dispute","proposedBy",""
"dispute","checkedBy",""
"dispute","resolutionNote","SLA deadline exceeded; dispute requires manual review because the original transfer is not settled"
"transfer","transferRef","TRX-20260716061216-7698F2F7"
"transfer","sourceBank","SUNDAYBANK"
"transfer","destinationBank","UAT260716T02220"
"transfer","amount","1000.0000"
"transfer","currency","LAK"
"transfer","status","DRS_REQUIRED"
"transfer","confirmationStatus","DISPUTED"
"transfer","settlementConfidence","DISPUTED"
"transfer","settledAt",""
"timeline.1","eventType","POOL_HOLD_CREATED"
"timeline.1","actor","API"
"timeline.1","createdAt","2026-07-16T06:12:16.292"
"timeline.1","payload","{""transferRef"":""TRX-20260716061216-7698F2F7"",""sourceBank"":""SUNDAYBANK"",""amount"":1000,""currency"":""LAK"",""availableBalance"":1.957491E9,""heldAmount"":2000.0}"
"timeline.2","eventType","TRANSFER_CREATED"
"timeline.2","actor","API"
"timeline.2","createdAt","2026-07-16T06:12:16.300"
"timeline.2","payload","{""transferRef"":""TRX-20260716061216-7698F2F7"",""inquiryRef"":""INQ-20260716061142-C41DB089"",""status"":""ACCEPTED"",""sourceBank"":""SUNDAYBANK"",""destinationBank"":""UAT260716T02220"",""creditorAccount"":""****************-001"",""amount"":1000,""currency"":""LAK"",""idempotencyKey"":""IDEM-FORCE-REJECT-RETEST-20260716T061142Z"",""messageType"":""PACS_008"",""routeCode"":""ROUTE_SUNDAYBANK_TO_UAT260716T02220_PACS_008"",""connectorName"":""MOCK_UAT260716T02220_CONNECTOR"",""settlementMethod"":""DNS"",""highValue"":false}"
"timeline.3","eventType","ISO_PACS008_ENCRYPTED_CREATED"
"timeline.3","actor","API"
"timeline.3","createdAt","2026-07-16T06:12:16.309"
"timeline.3","payload","{""isoMessageId"":124,""messageType"":""PACS_008"",""direction"":""OUTBOUND"",""messageId"":""MSG-TRX-20260716061216-7698F2F7"",""endToEndId"":""E2E-TRX-20260716061216-7698F2F7"",""securityStatus"":""ENCRYPTED"",""plainPayloadPresent"":false,""encryptedPayloadPresent"":true,""transferRef"":""TRX-20260716061216-7698F2F7"",""inquiryRef"":""INQ-20260716061142-C41DB089"",""sourceBank"":""SUNDAYBANK"",""destinationBank"":""UAT260716T02220"",""routeCode"":""ROUTE_SUNDAYBANK_TO_UAT260716T02220_PACS_008"",""connectorName"":""MOCK_UAT260716T02220_CONNECTOR""}"
"timeline.4","eventType","TRANSFER_QUEUED_FOR_DISPATCH"
"timeline.4","actor","API"
"timeline.4","createdAt","2026-07-16T06:12:16.314"
"timeline.4","payload","{""transferRef"":""TRX-20260716061216-7698F2F7"",""inquiryRef"":""INQ-20260716061142-C41DB089"",""outboxMessageType"":""TRANSFER_DISPATCH"",""isoMessageId"":124,""isoMessageType"":""PACS_008"",""isoSecurityStatus"":""ENCRYPTED"",""isoEncryptedPayloadPresent"":true,""sourceBank"":""SUNDAYBANK"",""destinationBank"":""UAT260716T02220"",""messageType"":""PACS_008"",""routeCode"":""ROUTE_SUNDAYBANK_TO_UAT260716T02220_PACS_008"",""connectorName"":""MOCK_UAT260716T02220_CONNECTOR""}"
"timeline.5","eventType","OUTBOX_DISPATCH_STARTED"
"timeline.5","actor","WORKER"
"timeline.5","createdAt","2026-07-16T06:12:16.400"
