method,path,handler,domain,risk,evidence_required,status,evidence_path,notes
GET,/api/admin/api-keys,ApiKeyController.list  (src/main/java/com/example/switching/security/controller/ApiKeyController.java),admin,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/01-api-key-lifecycle,
POST,/api/admin/api-keys,ApiKeyController.create  (src/main/java/com/example/switching/security/controller/ApiKeyController.java),admin,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/01-api-key-lifecycle,
POST,/api/admin/api-keys/{id}/disable,ApiKeyController.disable  (src/main/java/com/example/switching/security/controller/ApiKeyController.java),admin,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/01-api-key-lifecycle,
POST,/api/admin/api-keys/{id}/rotate,ApiKeyController.rotate  (src/main/java/com/example/switching/security/controller/ApiKeyController.java),admin,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/01-api-key-lifecycle,
GET,/api/admin/requests,MakerCheckerController.pending  (src/main/java/com/example/switching/usermgmt/controller/MakerCheckerController.java),admin,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/02-maker-checker,
POST,/api/admin/requests,MakerCheckerController.submit  (src/main/java/com/example/switching/usermgmt/controller/MakerCheckerController.java),admin,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/02-maker-checker,
POST,/api/admin/requests/{id}/approve,MakerCheckerController.approve  (src/main/java/com/example/switching/usermgmt/controller/MakerCheckerController.java),admin,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/api/admin/requests/{id}/reject,MakerCheckerController.reject  (src/main/java/com/example/switching/usermgmt/controller/MakerCheckerController.java),admin,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/02-maker-checker,
GET,/api/admin/users,UserController.list  (src/main/java/com/example/switching/usermgmt/controller/UserController.java),admin,read,authenticated read + unauthorized negative,PASS,02-auth-security,
POST,/api/admin/users,UserController.create  (src/main/java/com/example/switching/usermgmt/controller/UserController.java),admin,standard,happy path + authorization + validation + cleanup,PASS,17-security-operational,
GET,/api/admin/users/{id},UserController.get  (src/main/java/com/example/switching/usermgmt/controller/UserController.java),admin,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/03-user-lifecycle,
PUT,/api/admin/users/{id}/roles,UserController.assignRoles  (src/main/java/com/example/switching/usermgmt/controller/UserController.java),admin,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/03-user-lifecycle,
PUT,/api/admin/users/{id}/status,UserController.updateStatus  (src/main/java/com/example/switching/usermgmt/controller/UserController.java),admin,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/03-user-lifecycle,
GET,/api/audit-logs,AuditLogController.searchAuditLogs  (src/main/java/com/example/switching/audit/controller/AuditLogController.java),audit-logs,read,authenticated read + unauthorized negative,PASS,17-security-operational/audit-integrity,
POST,/api/auth/login,AuthController.login  (src/main/java/com/example/switching/usermgmt/controller/AuthController.java),auth,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,02-auth-security,
POST,/api/auth/logout,AuthController.logout  (src/main/java/com/example/switching/usermgmt/controller/AuthController.java),auth,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,17-security-operational,
POST,/api/auth/mfa,AuthController.mfa  (src/main/java/com/example/switching/usermgmt/controller/AuthController.java),auth,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
POST,/api/auth/refresh,AuthController.refresh  (src/main/java/com/example/switching/usermgmt/controller/AuthController.java),auth,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,17-security-operational,
DELETE,/api/auth/sessions,AuthController.revokeAll  (src/main/java/com/example/switching/usermgmt/controller/AuthController.java),auth,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/api/auth/sessions,AuthController.sessions  (src/main/java/com/example/switching/usermgmt/controller/AuthController.java),auth,read,authenticated read + unauthorized negative,PASS,17-security-operational,
DELETE,/api/auth/sessions/{id},AuthController.revoke  (src/main/java/com/example/switching/usermgmt/controller/AuthController.java),auth,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,17-security-operational,
GET,/api/connector-configs,ConnectorConfigController.list  (src/main/java/com/example/switching/connector/controller/ConnectorConfigController.java),connector-configs,read,authenticated read + unauthorized negative,PASS,15-member-bank-connectivity-guardrails,
POST,/api/connector-configs,ConnectorConfigController.create  (src/main/java/com/example/switching/connector/controller/ConnectorConfigController.java),connector-configs,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/05-connector-config-20260717T013817Z,
GET,/api/connector-configs/{connectorName},ConnectorConfigController.getByConnectorName  (src/main/java/com/example/switching/connector/controller/ConnectorConfigController.java),connector-configs,read,authenticated read + unauthorized negative,PASS,15-member-bank-connectivity-guardrails,
PATCH,/api/connector-configs/{connectorName},ConnectorConfigController.update  (src/main/java/com/example/switching/connector/controller/ConnectorConfigController.java),connector-configs,standard,happy path + authorization + validation + cleanup,PASS,15-member-bank-connectivity-guardrails,
